Countries,Latitude,Longitude,31/12/2019,1/1/2020,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020,7/1/2020,8/1/2020,9/1/2020,10/1/2020,11/1/2020,12/1/2020,13/01/2020,14/01/2020,15/01/2020,16/01/2020,17/01/2020,18/01/2020,19/01/2020,20/01/2020,21/01/2020,22/01/2020,23/01/2020,24/01/2020,25/01/2020,26/01/2020,27/01/2020,28/01/2020,29/01/2020,30/01/2020,31/01/2020,1/2/2020,2/2/2020,3/2/2020,4/2/2020,5/2/2020,6/2/2020,7/2/2020,8/2/2020,9/2/2020,10/2/2020,11/2/2020,12/2/2020,13/02/2020,14/02/2020,15/02/2020,16/02/2020,17/02/2020,18/02/2020,19/02/2020,20/02/2020,21/02/2020,22/02/2020,23/02/2020,24/02/2020,25/02/2020,26/02/2020,27/02/2020,28/02/2020,29/02/2020,1/3/2020,2/3/2020,3/3/2020,4/3/2020,5/3/2020,6/3/2020,7/3/2020,8/3/2020,9/3/2020,10/3/2020,11/3/2020,12/3/2020,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,1/4/2020,2/4/2020,3/4/2020,4/4/2020,5/4/2020,6/4/2020,7/4/2020,8/4/2020,9/4/2020,10/4/2020,11/4/2020,12/4/2020,13/04/2020,14/04/2020,15/04/2020,16/04/2020,17/04/2020,18/04/2020,19/04/2020,20/04/2020,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,26/04/2020,27/04/2020,28/04/2020,29/04/2020,30/04/2020,1/5/2020,2/5/2020,3/5/2020,4/5/2020,5/5/2020,6/5/2020,7/5/2020,8/5/2020,9/5/2020,10/5/2020,11/5/2020,12/5/2020,13/05/2020,14/05/2020,15/05/2020,16/05/2020,17/05/2020,18/05/2020,19/05/2020,20/05/2020,21/05/2020,22/05/2020,23/05/2020,24/05/2020,25/05/2020,26/05/2020,27/05/2020,28/05/2020,29/05/2020,30/05/2020,31/05/2020,1/6/2020,2/6/2020,3/6/2020,4/6/2020,5/6/2020,6/6/2020,7/6/2020,8/6/2020,9/6/2020,10/6/2020,11/6/2020,12/6/2020,13/06/2020,14/06/2020,15/06/2020,16/06/2020,17/06/2020,18/06/2020,19/06/2020,20/06/2020,21/06/2020,22/06/2020,23/06/2020,24/06/2020,25/06/2020,26/06/2020,27/06/2020,28/06/2020,29/06/2020,30/06/2020,1/7/2020,2/7/2020,3/7/2020,4/7/2020,5/7/2020,6/7/2020,7/7/2020,8/7/2020,9/7/2020,10/7/2020,11/7/2020,12/7/2020,13/07/2020,14/07/2020,15/07/2020,16/07/2020,17/07/2020,18/07/2020,19/07/2020,20/07/2020,21/07/2020,22/07/2020,23/07/2020,24/07/2020,25/07/2020,26/07/2020,27/07/2020,28/07/2020,29/07/2020
Romania,45.9432,24.9668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,,4,,6,7,13,15,17,25,45,64,89,113,139,184,217,260,277,308,367,433,576,762,906,1029,1292,1452,1760,1952,2245,2460,2738,3183,3613,3864,4057,4417,4761,5202,5467,5990,6300,6633,6879,7216,7707,8067,8418,8746,8936,9242,9710,10096,10417,10635,11036,11339,11616,11978,12240,12567,12732,13163,13512,13837,14107,14499,14811,15131,15362,15588,15778,16002,16247,16437,16704,16871,17036,17191,17387,17585,17712,17857,18070,18283,18429,18594,18791,18982,19133,19257,19398,19517,19669,19907,20103,20290,20479,20604,20749,20945,21182,21404,21679,21999,22165,22415,22760,23080,23400,23730,24045,24291,24505,24826,25286,25697,26022,26313,26582,26970,27296,27746,28166,28582,28973,29223,29620,30175,30789,31381,32079,32535,32948,33585,34226,35003,35802,36691,37458,38139,39133,40163,41275,42394,43678,44798,45902,47053
Russia,60,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,10,10,10,10,10,25,30,45,59,63,93,114,147,199,253,306,438,438,495,658,840,1036,1264,1534,1836,2337,2777,3548,4149,4731,5389,6343,7497,8672,10131,11917,13584,15770,18328,21102,24490,27938,32008,36793,42853,47121,52763,57999,62773,68622,74588,80949,87147,93558,99399,106498,114431,124054,134687,145268,155370,165929,177160,187859,198676,209688,221344,232243,242271,252245,262843,272043,281752,290678,299941,308705,317554,326448,335882,344481,353427,362342,370680,379051,387623,396575,405843,414878,423741,432277,441108,449834,458689,467673,476658,485253,493657,502436,511423,520129,528964,537210,545458,553301,561091,569063,576952,584680,592280,599705,606881,613994,620794,627646,634437,641156,647849,654405,661165,667883,674515,681251,687862,694230,700792,707301,713936,720547,727162,733699,739947,746369,752797,765437,771546,771546,777486,783328,789190,795038,800849,806720,812485,818120,823515
Rwanda,-1.9403,29.8739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,5,7,11,11,17,17,19,36,40,41,50,54,60,70,70,75,82,82,89,102,104,105,105,110,113,118,120,126,127,134,136,138,143,144,147,147,150,153,154,176,183,191,207,212,225,243,249,255,259,261,261,268,271,273,280,284,285,286,287,287,287,289,292,297,308,314,320,321,325,327,336,339,346,349,355,359,370,377,384,397,410,420,431,439,451,463,476,494,510,541,582,612,636,639,646,661,702,728,787,798,830,850,858,878,900,1001,1025,1042,1063,1081,1092,1105,1113,1172,1194,1210,1252,1299,1337,1378,1416,1435,1473,1485,1539,1582,1629,1655,1689,1710,1729,1752,1821,1879,1926
Saint Kitts and Nevis,17.3578,-62.783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,7,7,8,8,8,9,10,10,11,11,11,11,12,12,12,12,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
Saint Lucia,13.9094,-60.9789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,9,9,13,13,13,13,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,24,24,24,24,24,24
Saint Vincent and the Grenadines,12.9843,-61.2872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,2,2,7,7,7,7,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,14,14,14,15,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,25,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,35,35,35,35,35,38,44,50,50,50,50,52,52,52,52,52,52
San Marino,43.9424,12.4578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,8,,10,15,22,23,26,37,49,62,66,67,73,92,98,102,104,109,126,151,151,151,187,187,208,218,223,224,229,229,230,236,245,251,259,266,277,279,308,333,344,356,356,356,372,392,426,435,455,461,462,476,488,501,513,513,538,538,553,563,569,580,580,582,582,589,608,622,623,637,628,628,638,643,648,652,653,654,654,655,656,658,661,665,665,666,666,667,670,671,671,671,687,687,687,687,687,687,687,687,688,691,691,694,694,694,694,694,696,696,696,696,696,698,698,698,698,698,698,698,698,698,698,698,713,713,713,713,713,713,714,714,714,714,714,714,714,714,714,714,714,716,716,716,716,716,716,716,716,716
Sao Tome and Principe,0.18636,6.613081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,8,8,8,8,8,11,14,16,18,18,18,174,174,174,187,208,208,208,212,220,235,235,235,235,235,246,251,251,251,251,291,299,299,441,443,458,463,479,483,484,484,484,499,509,513,514,514,514,632,639,650,659,661,661,671,683,688,693,698,698,702,707,710,711,712,713,713,713,714,715,717,719,719,720,721,724,724,726,727,727,729,732,732,737,740,741,743,746,746,746,747,749,860,862,863,865,867
Saudi Arabia,24,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,5,,7,11,15,20,45,62,86,86,118,133,133,171,238,274,392,511,562,767,900,1012,1104,1203,1229,1453,1563,1720,1885,1885,2179,2385,2523,2795,2932,3287,3651,4033,4462,4934,5369,5862,6380,7142,8274,9362,10484,11631,12772,13930,15102,16299,17522,18811,20077,21402,22753,24097,25459,27011,28656,30251,31938,33731,35432,37136,39048,41014,42925,44830,46869,49176,52016,54752,57345,59854,62545,65077,67719,70161,72560,74795,76726,78541,80185,81766,83384,85261,87142,89011,91182,93157,95748,98869,101914,105283,108571,112288,116021,119942,123308,127541,132048,136315,141234,145991,150292,154233,157612,161005,164144,167267,170639,174577,178504,182493,186436,190823,194225,197608,201801,205929,209509,213716,217108,220144,223327,226486,229480,232259,235111,237803,240474,243238,245851,248416,250920,253349,255825,258156,260394,262772,264973,266941,268934,270831
Senegal,14.4974,-14.4524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,4,,,,,,,6,19,21,26,27,31,36,36,47,56,67,79,86,99,105,119,130,142,162,175,190,195,207,219,222,226,237,244,250,265,278,280,291,299,314,335,342,350,367,377,412,442,479,545,614,671,735,823,882,933,1024,1115,1182,1271,1329,1433,1492,1551,1634,1709,1886,1995,2105,2189,2310,2429,2480,2544,2617,2714,2812,2909,2976,3047,3130,3161,3253,3348,3429,3535,3645,3739,3836,3932,4021,4155,4249,4328,4427,4516,4640,4759,4851,4996,5090,5173,5247,5369,5475,5639,5738,5888,5970,6034,6129,6233,6354,6459,6586,6698,6793,6925,7054,7164,7272,7400,7478,7547,7657,7784,7882,8014,8135,8198,8243,8369,8481,8544,8669,8810,8948,8985,9121,9266,9422,9552,9681,9764,9805
Serbia,44.0165,21.0059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,5,18,24,41,46,55,57,72,94,126,135,149,188,222,249,303,384,457,659,741,741,900,1060,1171,1476,1624,1908,2200,2447,2666,2867,3105,3380,3630,4054,4465,4873,5318,5690,5994,6318,6630,6890,7114,7276,7483,7779,8042,8275,8497,8724,9009,9205,9362,9464,9557,9677,9791,9848,9943,10032,10114,10176,10243,10295,10374,10438,10496,10610,10699,10733,10833,10919,11024,11092,11159,11193,11227,11275,11300,11354,11381,11412,11430,11454,11523,11571,11667,11741,11823,11896,11965,12031,12102,12175,12251,12310,12367,12426,12522,12616,12709,12803,12894,12990,13092,13235,13372,13565,13792,14046,14288,14564,14836,15195,15504,15829,16131,16420,16719,17076,17342,17728,18073,18360,18639,18983,19334,19717,20109,20498,20894,21253,21605,22031,22443,22852,22852,23730,24141,24520
Seychelles,-4.6796,55.492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,4,4,6,6,7,7,7,7,7,7,7,7,7,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,81,81,91,94,100,100,100,100,100,100,100,100,100,100,108,114,114,114,114,114,114,114,114
Sierra Leone,8.4606,-11.7799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,4,6,6,6,7,7,8,10,10,11,11,13,15,26,30,35,43,50,61,64,82,82,93,99,104,116,124,136,155,157,178,199,225,231,257,291,307,338,338,387,408,447,462,505,519,534,570,585,606,621,707,735,754,782,812,829,852,861,861,896,909,914,929,946,969,1001,1025,1062,1085,1103,1132,1169,1176,1225,1249,1272,1298,1309,1327,1340,1347,1354,1381,1394,1410,1427,1450,1462,1498,1518,1524,1533,1542,1542,1572,1584,1598,1613,1618,1635,1642,1651,1668,1678,1688,1701,1711,1711,1727,1731,1752,1752,1768,1783,1783,1786
Singapore,1.2833,103.8333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,5,7,10,13,16,18,18,18,24,28,30,33,40,43,45,47,50,58,67,72,75,77,81,84,85,86,89,89,90,91,93,96,98,102,106,108,110,112,117,130,138,150,160,166,178,187,200,214,226,243,266,313,345,385,432,455,509,558,568,594,732,803,844,844,879,1000,1049,1114,1189,1309,1375,1481,1623,1909,1909,2299,2532,2918,3252,3699,4427,5050,5992,6588,8014,9125,10141,11178,12075,12693,13624,14423,14951,15641,16169,17101,17548,18205,18778,19410,20198,20939,21707,22460,23336,23787,24671,25346,26098,26891,27356,28038,28343,28794,29364,29812,30426,31068,31616,31960,32343,32876,33249,33860,34366,34884,35292,35836,36405,36922,37183,37527,37910,38296,38514,38965,39387,39850,40197,40604,40818,40969,41216,41473,41615,41833,42095,42313,42432,42623,42736,42955,43246,43459,43661,43907,44122,44310,44479,44664,44664,44983,45140,45298,45422,45613,45783,45961,46283,46629,46878,47126,47453,47655,47912,48035,48434,48744,49098,49375,49888,50369,50838,51197
Sint Maarten (Dutch part),18.0425,-63.0548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,2,3,3,3,,6,16,23,23,23,25,25,40,40,50,50,50,50,52,52,57,57,57,64,67,68,68,73,73,73,73,74,75,75,76,76,76,76,76,76,76,76,76,76,76,76,76,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,78,78,78,78,78,78,78,78,78,78,78,78,79,79,79,79,79,79,81,84,94,94,94,114,121
Slovakia,48.669,19.699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,5,,7,10,21,30,44,61,84,97,107,123,137,178,185,191,204,216,226,295,295,336,336,363,400,426,450,471,485,534,581,682,701,715,728,742,769,835,863,977,1049,1089,1161,1173,1199,1244,1325,1360,1373,1379,1381,1384,1391,1396,1403,1407,1408,1413,1421,1429,1445,1455,1455,1457,1457,1465,1469,1477,1480,1493,1494,1495,1495,1496,1502,1503,1504,1509,1511,1513,1515,1520,1520,1521,1522,1522,1522,1525,1526,1526,1528,1528,1530,1531,1533,1541,1542,1545,1548,1552,1552,1561,1562,1576,1586,1587,1588,1589,1607,1630,1643,1657,1664,1665,1667,1687,1700,1720,1749,1764,1765,1767,1798,1851,1870,1893,1901,1902,1908,1927,1951,1965,1976,1979,1980,2021,2058,2089,2118,2141,2179,2181,2204
Slovenia,46.1512,14.9955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,9,12,16,,31,57,96,141,181,219,253,275,286,319,341,383,414,442,480,528,577,632,691,730,763,814,841,897,934,977,997,1021,1055,1091,1124,1160,1188,1205,1212,1220,1248,1268,1304,1317,1330,1335,1340,1353,1366,1373,1388,1407,1407,1408,1418,1429,1434,1439,1439,1445,1448,1449,1450,1454,1457,1460,1461,1463,1464,1465,1465,1466,1466,1467,1468,1468,1468,1468,1468,1469,1469,1469,1471,1473,1473,1473,1473,1475,1475,1477,1479,1484,1485,1485,1485,1486,1488,1488,1490,1492,1495,1496,1499,1503,1511,1513,1519,1520,1521,1534,1541,1547,1558,1572,1581,1585,1600,1613,1633,1649,1679,1700,1716,1739,1763,1776,1793,1827,1841,1849,1859,1878,1897,1916,1940,1946,1953,1977,2015,2033,2052,2066,2082,2087,2101
Somalia,5.1521,46.1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,5,5,5,7,7,7,8,8,12,21,21,25,25,60,80,80,116,135,164,237,286,286,328,328,390,436,480,528,582,601,601,671,722,756,835,873,928,928,997,1054,1089,1170,1219,1284,1284,1357,1421,1455,1502,1573,1594,1594,1594,1594,1689,1711,1731,1828,1828,1916,1976,2023,2089,2146,2204,2204,2289,2334,2368,2416,2452,2513,2513,2579,2603,2642,2658,2696,2719,2719,2755,2779,2812,2835,2860,2878,2878,2878,2894,2904,2924,2924,2944,2944,2961,2997,3006,3015,3028,3038,3038,3051,3059,3059,3076,3083,3083,3106,3111,3119,3130,3135,3161,3171,3171,3178,3178,3178,3196
South Africa,-30.5595,22.9375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,3,7,,13,17,24,24,51,62,85,116,150,205,240,274,402,557,709,927,1170,1187,1280,1326,1353,1380,1462,1505,1585,1655,1686,1749,1845,1934,2003,2028,2173,2272,2415,2506,2605,2783,3034,3158,3300,3465,3635,3953,4220,4361,4546,4793,4996,5350,5647,5951,6336,6783,7220,7572,7808,8232,8895,9420,10015,10652,11350,12074,12739,13524,14355,15515,16433,17200,18003,19137,20125,21343,22583,23615,24264,25937,27403,29240,30967,32683,34357,35812,37525,40792,43434,45973,48285,50879,52991,55421,58568,61927,65736,70038,73533,76334,80412,83890,87715,92681,97302,101590,106108,111796,118375,124590,131800,138134,144264,151209,159333,168061,177124,187977,196750,205721,215855,224665,238339,250687,264184,276242,287796,298292,311049,324221,337594,350879,364328,373628,381798,394948,408052,421996,434200,445433,452529,459761
South Korea,35.9078,127.7669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,4,4,4,4,7,12,15,15,16,18,23,24,24,25,27,28,28,28,28,28,29,30,31,46,80,155,345,601,762,892,1146,1595,2022,2931,3526,4212,4812,5328,5766,6284,6767,7134,7382,7513,7755,7869,7979,8086,8162,8236,8320,8413,8565,8652,8799,8897,8961,9037,9137,9241,9332,9478,9583,9661,9786,9786,9976,10062,10156,10237,10284,10331,10384,10423,10450,10450,10512,10537,10564,10591,10613,10635,10653,10661,10674,10683,10694,10702,10708,10718,10728,10738,10752,10761,10765,10774,10780,10793,10801,10804,10806,10810,10822,10840,10874,10909,10936,10962,10991,11018,11037,11050,11065,11078,11110,11122,11142,11165,11190,11206,11225,11265,11344,11402,11441,11468,11503,11541,11590,11629,11668,11719,11776,11814,11852,11902,11947,12003,12051,12084,12121,12155,12198,12257,12306,12373,12421,12438,12484,12535,12563,12602,12653,12715,12757,12800,12850,12904,12967,13030,13091,13091,13181,13244,13293,13338,13373,13417,13479,13512,13551,13612,13672,13711,13745,13771,13816,13879,13938,13979,14092,14150,14175,14203,14251
South Sudan,6.877,31.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,6,6,34,34,35,45,45,46,46,52,74,90,120,143,156,156,194,203,231,236,236,282,282,285,285,339,339,563,563,655,806,806,806,994,994,994,994,994,994,1317,1317,1317,1317,1604,1604,1604,1604,1670,1693,1693,1755,1776,1807,1813,1813,1864,1882,1892,1916,1930,1942,1952,1958,1989,2006,2006,2006,2036,2036,2036,2036,2093,2098,2106,2113,2129,2129,2139,2148,2148,2153,2171,2191,2191,2200,2211,2211,2211,2239,2258,2258,2262,2305,2322
Spain,40,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,9,17,35,54,82,136,192,267,348,531,764,1094,1527,2299,3274,4427,5958,7641,9785,11491,13994,17688,21735,26304,31750,36616,41262,48953,57506,66460,75641,83885,90309,96122,104267,111680,119263,126535,133198,138731,142398,147607,153190,158935,163472,168022,171921,174951,178067,182491,186311,190129,193965,193252,195470,198421,200733,203649,205763,208269,209910,211570,213095,213942,215183,216570,217804,218739,219205,220244,221124,222045,223218,223961,227377,227770,228252,228691,229540,230183,230698,231350,231606,232037,232555,233037,234824,235290,235772,235400,236259,236769,237906,238564,239228,239429,239638,239932,240326,240660,240978,241310,241550,241717,241966,242280,242707,243209,243605,243928,244109,244328,244683,245268,245575,245938,246272,246504,246752,247086,247486,247905,248469,248770,248970,249271,249659,250103,250545,250545,250545,251789,252130,252513,253056,253908,253908,253908,255953,256619,257494,258855,260255,260255,260255,264836,266194,267551,270166,272421,272421,272421,278782,280610,
Sri Lanka,7,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,2,3,6,11,19,29,42,42,53,66,78,87,97,102,102,106,106,115,120,120,122,143,148,151,159,166,178,185,189,190,197,199,210,218,233,237,238,244,254,295,304,310,330,368,420,462,523,588,619,649,665,690,705,718,755,771,797,824,835,847,863,869,889,915,925,935,960,981,992,1027,1028,1055,1068,1089,1141,1182,1319,1469,1530,1558,1620,1633,1643,1683,1749,1797,1801,1814,1835,1857,1859,1869,1877,1880,1884,1889,1905,1915,1924,1947,1950,1950,1950,1951,1991,2001,2010,2014,2033,2037,2042,2047,2054,2066,2069,2074,2076,2078,2081,2094,2350,2454,2511,2617,2646,2665,2674,2687,2697,2704,2724,2730,2730,2752,2753,2764,2770,2782,2805,2810
Sudan,12.8628,30.2176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,5,5,6,7,7,7,7,10,12,12,14,14,14,15,19,19,29,32,32,32,32,66,66,92,107,140,162,174,213,237,275,318,375,442,442,592,678,678,778,852,930,1111,1164,1363,1526,1661,1818,1964,1964,1964,2289,2591,2591,2728,3138,3378,3628,3634,3826,3976,4146,4346,4521,4800,5026,5173,5310,5310,5499,5714,5865,6083,6242,6242,6427,6730,6879,6879,7220,7220,7740,8020,8020,8316,8580,8580,8698,8889,8889,8984,9257,9258,9258,9258,9258,9573,9573,9663,9663,9767,9767,9997,10084,10158,10204,10250,10250,10316,10316,10527,10527,10527,10682,10762,10992,11127,11127,11237,11237,11302,11385,11424,11496
Suriname,3.9193,-56.0278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,5,5,6,8,8,8,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,12,12,12,14,23,44,54,74,82,91,100,122,130,137,137,168,187,196,208,229,236,261,277,293,302,314,319,319,357,373,391,391,490,501,517,535,547,561,565,594,614,614,665,694,726,741,741,780,801,849,918,943,1001,1029,1079,1131,1176,1234,1305,1381,1439,1483,1510
Swaziland,-26.5225,31.4659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,4,4,4,4,6,9,9,9,9,9,9,9,9,9,9,10,10,12,12,12,14,14,15,15,16,16,19,19,22,24,24,31,32,40,40,59,65,71,91,100,106,108,112,116,116,123,153,159,163,172,175,184,187,187,190,202,203,203,208,217,220,220,238,250,256,261,272,279,279,283,285,293,293,295,300,305,322,333,340,371,398,449,472,486,490,506,520,563,586,623,627,635,643,674,690,706,728,745,781,795,812,840,873,909,954,988,1011,1056,1138,1213,1257,1311,1351,1389,1434,1489,1552,1619,1729,1793,1826,1894,1938,2021,2073,2142,2207,2316,2404
Sweden,63,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,7,12,13,14,15,24,35,61,137,161,203,248,326,462,620,775,924,1032,1121,1167,1301,1423,1623,1746,1906,2016,2272,2510,2806,3046,3447,3700,4028,4435,4947,5466,6078,6443,6830,7206,7693,8419,9141,9685,10151,10483,10948,11445,11927,12540,13216,13822,14385,14777,15322,16004,16755,17567,18177,18640,18926,19621,20302,21092,21520,22082,22317,22721,23216,23918,24623,25265,25921,26322,26670,27272,27909,28582,29207,29677,30143,30377,30799,31523,32172,32809,33188,33459,33843,34440,35088,35727,36476,37113,37542,37814,38589,40803,41883,42939,43887,44730,45133,45924,46814,48288,49684,50931,51614,52383,53323,54562,56043,56043,56043,56043,58932,60837,62324,63890,65137,65137,65137,67667,68451,69692,70639,71419,71419,71419,73061,73344,73858,74333,74898,74898,74898,75826,76001,76492,76877,77281,77281,77281,78048,78166,78504,78763,78997,78997,78997,79395,79494
